job_index,replicate_index,seed,nll,mse,mae,r2
0,0,3023998541,3.285915143062621,14.54664707183838,2.6866655349731445,0.949708878993988
0,1,2970908266,2.7727194590286364,12.409797668457031,2.6070070266723637,0.9563385248184204
0,2,2253905059,2.7906189104868315,11.910174369812012,2.601546287536621,0.9589933753013612
0,3,2199221172,3.3813606567518963,12.444580078125,2.6009202003479004,0.9567362666130066
0,4,1192768812,2.8450837085730414,12.59015941619873,2.6460936069488525,0.9568069577217102
0,5,1676973821,2.895101107475256,13.162301063537598,2.639573097229004,0.9558457136154176
0,6,810907239,3.125020240380727,16.6856746673584,2.790816068649292,0.9438600540161132
0,7,729266704,2.733375614773162,13.090285301208496,2.709803819656372,0.9528346657752992
0,8,3280173817,3.042191249806571,16.286413192749023,2.751259088516236,0.9418907761573792
0,9,2939642204,2.699213047218694,13.730791091918944,2.5012190341949463,0.9533701539039612
1,10,3290936230,3.0406206158193774,15.176923751831056,2.7208526134490967,0.9502477645874025
1,11,2737152525,3.317157033964971,13.653566360473633,2.644346237182617,0.9510818123817444
1,12,1158480471,3.428981732239795,15.337656021118164,2.815476655960083,0.9441516399383544
1,13,1585093229,3.1301576206431068,13.11806869506836,2.573031425476074,0.9553024172782898
1,14,1737871151,3.4090367459626214,12.58365535736084,2.662668943405152,0.9575722813606262
1,15,3954553534,2.8773408298658736,12.162997245788574,2.5338246822357178,0.9589678049087524
1,16,1425963406,3.0056070302479667,13.877716064453123,2.7936668395996094,0.9546456336975098
1,17,3083227987,2.849730710520719,15.34636688232422,2.8198401927948,0.9480546712875366
1,18,4239650843,3.5488600780710806,15.452326774597168,2.742353916168213,0.944698929786682
1,19,1229091904,3.298502996736819,14.602781295776367,2.7470457553863525,0.9516745209693908
2,20,537266697,2.68868648316359,13.337368965148926,2.6040427684783936,0.9536654949188232
2,21,1451639359,3.4677483399475904,15.284552574157717,2.687898635864258,0.9449231028556824
2,22,3207221960,3.2861714266141333,18.304841995239254,2.992518424987793,0.9399800300598145
2,23,690637451,3.2363406273969275,13.610152244567873,2.602998971939087,0.9539362788200378
2,24,1345078318,3.135821727933664,14.658208847045898,2.793355941772461,0.9494835138320924
2,25,2205632966,3.72230111010953,15.79800796508789,2.728391170501709,0.9462143778800964
2,26,1033146440,3.228535472497625,14.649998664855955,2.7942843437194824,0.9499273300170898
2,27,1055249306,2.8929842978748384,12.23641586303711,2.6889705657958984,0.9583418369293212
2,28,3331008880,2.975942545483849,12.835249900817873,2.6298036575317383,0.9573445320129396
2,29,3955827539,3.271768915638276,17.05645751953125,2.8295164108276367,0.9451625347137452
3,30,2969694526,2.9368733123671125,12.149513244628906,2.5297610759735107,0.9565765857696532
3,31,3262219992,3.5809175633065897,18.81273651123047,2.86580228805542,0.9318479299545288
3,32,3100940326,3.222804744637738,13.200425148010254,2.678842544555664,0.9526112675666808
3,33,944020645,3.826800083747649,13.204445838928224,2.6585490703582764,0.954352080821991
3,34,3055465740,3.0190407833000346,13.272743225097656,2.7177042961120605,0.9526806473731996
3,35,2578858300,3.1296485207500493,14.553227424621582,2.833903551101685,0.9483286142349244
3,36,3915299906,2.88801100375163,13.631875991821287,2.771179676055908,0.9532754421234132
3,37,91750999,3.01907132375535,13.15677261352539,2.6924469470977783,0.9550693035125732
3,38,2932568576,2.910844330988012,11.12404727935791,2.4896950721740723,0.962084949016571
3,39,4050454647,2.8857728778869127,11.611827850341797,2.5874335765838623,0.9592991471290588
4,40,278071048,5.051063400193328,15.723541259765623,2.742476224899292,0.9449123740196228
4,41,413184257,3.309916828113088,15.288278579711914,2.8007168769836426,0.9493843913078308
4,42,159308872,3.4039592145794635,13.517234802246094,2.657368421554565,0.954652726650238
4,43,2590685560,2.750911332958014,11.084881782531738,2.51206636428833,0.9612601399421692
4,44,3058099113,3.0959173288336173,14.482513427734377,2.8048534393310547,0.9494311809539796
4,45,179468956,3.03815754535429,12.48884105682373,2.598109722137451,0.9573532342910768
4,46,706304797,2.931847875472907,13.123250961303713,2.674207925796509,0.9551421403884888
4,47,2080879716,3.1343263106993557,10.890259742736816,2.538276195526123,0.9628887176513672
4,48,4063089506,2.7962207693695857,11.772913932800291,2.571751832962036,0.9596590399742126
4,49,2116502769,3.510803153017069,14.707841873168944,2.708024740219116,0.948757529258728
5,50,1963565702,2.8672593283341743,13.472697257995604,2.848674297332764,0.9529064297676086
5,51,934079125,2.8710480571732178,14.009771347045898,2.857198476791382,0.952823042869568
5,52,3645204921,2.836452007352537,11.85452651977539,2.5320193767547607,0.958982229232788
5,53,3948928814,2.9682696892924074,12.766721725463867,2.701690196990967,0.95658141374588
5,54,2285816066,2.945567755278128,14.09018898010254,2.749751091003418,0.9522389769554138
5,55,3420810372,3.847515741323828,15.912213325500488,2.8607122898101807,0.9476343989372252
5,56,3714586230,2.7564102122158176,12.952729225158691,2.668709516525269,0.9569637775421144
5,57,3501670924,3.074647493818277,16.202863693237305,2.8873865604400635,0.940322995185852
5,58,2561274638,2.7577160647755354,12.466465950012209,2.5871007442474365,0.9561700224876404
5,59,3596263970,3.0757702575163424,13.794346809387209,2.664832353591919,0.952505111694336
6,60,1915444705,2.8853928791460186,12.21396255493164,2.545948028564453,0.9572373032569884
6,61,1493519098,2.948870908642131,13.67808723449707,2.586578369140625,0.9519760012626648
6,62,3516507278,3.145637933140099,17.842588424682617,2.853548765182495,0.9398754835128784
6,63,1650515144,3.6312680920407456,13.12607765197754,2.558476448059082,0.9552671313285828
6,64,2408421384,3.021974866579596,12.513150215148926,2.6125741004943848,0.9601571559906006
6,65,1667392290,2.9996370430907997,12.636133193969728,2.6481034755706787,0.9575864672660828
6,66,1269695707,3.24455925574828,14.468384742736816,2.7095632553100586,0.950985550880432
6,67,657310541,3.121320759103705,14.904433250427246,2.7449305057525635,0.9461212158203124
6,68,2711762375,3.049102186755973,15.39106273651123,2.978722333908081,0.9488130807876588
6,69,1039086296,2.870488821154256,13.152952194213867,2.6173784732818604,0.9540786147117616
7,70,3678877468,2.970513429790035,13.251757621765137,2.703306198120117,0.9512125253677368
7,71,2062878228,3.533992712593553,16.17009925842285,2.892075538635254,0.9408552050590516
7,72,530078006,2.864648160478977,13.90988063812256,2.7382030487060547,0.9529941082000732
7,73,2789761457,3.998194714472859,14.54328155517578,2.6152548789978027,0.9507408142089844
7,74,3028903399,3.1771945568636477,13.87174129486084,2.6948299407958984,0.9523136019706726
7,75,210030530,2.829144937818651,12.91428279876709,2.724149703979492,0.954254984855652
7,76,3514119865,3.1770724335340867,14.0910005569458,2.636340379714966,0.9508365392684937
7,77,2240479225,2.853867179535848,16.300655364990234,2.897512435913086,0.9434158802032472
7,78,1244774550,3.40531757534398,13.741942405700684,2.6666247844696045,0.95387464761734
7,79,967964351,3.1017850131980573,14.904885292053224,2.811351776123047,0.9493508338928224
8,80,2407966284,2.8684342480463747,15.468525886535645,2.867576360702514,0.9463865756988524
8,81,74868278,3.0842203044812373,15.237828254699709,2.7239792346954346,0.948991358280182
8,82,1055212224,3.0980453126327685,13.77518367767334,2.700507402420044,0.9524438381195068
8,83,1479170242,3.322744837063538,16.807029724121094,2.7443618774414062,0.9457025527954102
8,84,675334903,3.013723739297657,14.054624557495115,2.7425131797790527,0.9524450302124025
8,85,1152669540,3.564458862968632,16.66421127319336,2.812560796737671,0.9419459104537964
8,86,3635548185,3.2551486924116078,15.97305965423584,2.8071749210357666,0.9464162588119508
8,87,1956780950,2.7843543203242493,14.198848724365234,2.776458501815796,0.952300488948822
8,88,555757192,2.8068636171511465,13.136591911315918,2.751544713973999,0.9558440446853638
8,89,186111694,3.191486875138696,14.021459579467772,2.77571964263916,0.9530109167099
9,90,3672460092,3.565389502811307,17.001018524169922,2.8655264377593994,0.9419111609458924
9,91,809752976,2.982743396787345,12.929383277893066,2.623570680618286,0.9531912207603456
9,92,3196180341,3.2216091479017304,15.540815353393556,2.7702603340148926,0.9454051852226256
9,93,448152410,3.8507783658804073,15.173054695129396,2.7081639766693115,0.9497274160385132
9,94,801436037,3.051120315296396,16.031248092651367,3.029172420501709,0.9451577663421632
9,95,804473071,3.394001602116825,12.578210830688477,2.590512752532959,0.9544376730918884
9,96,2813460119,2.9178312304281517,14.94678020477295,2.849883794784546,0.9507200121879578
9,97,1021069865,2.972952566996764,16.1697998046875,2.874035596847534,0.9435113668441772
9,98,372834009,3.295797065416022,14.65876007080078,2.7587480545043945,0.9506043791770936
9,99,3641765408,3.2984665976729897,13.949960708618164,2.686898708343506,0.9505611658096312
10,100,540044574,3.0134454140812594,15.219149589538574,2.78234601020813,0.9492151737213136
10,101,1847199097,2.697393362997328,11.803216934204102,2.6457910537719727,0.9589569568634032
10,102,2223725863,3.403768978024303,16.682945251464844,2.7150564193725586,0.9394906759262084
10,103,3729486703,3.5777289052228864,14.820594787597656,2.7767462730407715,0.947340488433838
10,104,1091645712,2.982903421234964,12.098587036132812,2.603916883468628,0.957894802093506
10,105,316933584,3.111699572889529,14.52989101409912,2.784149408340454,0.953041672706604
10,106,1373679982,2.774091441701655,12.342266082763672,2.638495922088623,0.9570631980895996
10,107,952793086,3.25262095669872,15.742831230163574,2.746640205383301,0.9428948163986206
